nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625

Epoch : 1
[progress:63.0%]time:8.15s Loss:0.84817 Correct:179197/225280 Acc:79.544%
[progress:65.9%]time:8.24s Loss:0.82415 Correct:187474/235520 Acc:79.600%
[progress:68.8%]time:8.14s Loss:0.79553 Correct:195790/245760 Acc:79.667%
[progress:71.6%]time:8.20s Loss:0.81096 Correct:204068/256000 Acc:79.714%
[progress:74.5%]time:8.16s Loss:0.80383 Correct:212378/266240 Acc:79.769%
[progress:77.4%]time:8.23s Loss:0.83176 Correct:220629/276480 Acc:79.799%
[progress:80.2%]time:8.17s Loss:0.82939 Correct:228894/286720 Acc:79.832%
[progress:83.1%]time:8.19s Loss:0.84974 Correct:237086/296960 Acc:79.838%
[progress:86.0%]time:8.20s Loss:0.79730 Correct:245428/307200 Acc:79.892%
[progress:88.8%]time:8.19s Loss:0.81063 Correct:253722/317440 Acc:79.928%
[progress:91.7%]time:8.19s Loss:0.82653 Correct:262008/327680 Acc:79.958%
[progress:94.6%]time:8.19s Loss:0.80007 Correct:270343/337920 Acc:80.002%
[progress:97.4%]time:8.18s Loss:0.76460 Correct:278749/348160 Acc:80.063%
Testing ...
[progress:100.0%]time:45.23s Loss:0.99677 Correct:116908/152974 Acc:76.423%
Saving parameters to checkpoint/ckpt.t7
end

Epoch : 6
[progress:2.9%]time:9.04s Loss:0.95497 Correct:7875/10240 Acc:76.904%
[progress:5.7%]time:8.07s Loss:0.88387 Correct:16005/20480 Acc:78.149%
[progress:8.6%]time:8.15s Loss:0.83992 Correct:24291/30720 Acc:79.072%
[progress:11.5%]time:8.19s Loss:0.78494 Correct:32674/40960 Acc:79.771%
[progress:14.3%]time:8.15s Loss:0.80652 Correct:40995/51200 Acc:80.068%
[progress:17.2%]time:8.25s Loss:0.84080 Correct:49223/61440 Acc:80.116%
[progress:20.1%]time:8.16s Loss:0.77271 Correct:57601/71680 Acc:80.359%
[progress:22.9%]time:8.19s Loss:0.79720 Correct:65959/81920 Acc:80.516%
[progress:25.8%]time:8.22s Loss:0.78886 Correct:74308/92160 Acc:80.629%
[progress:28.7%]time:8.19s Loss:0.77035 Correct:82741/102400 Acc:80.802%
[progress:31.5%]time:8.20s Loss:0.75990 Correct:91151/112640 Acc:80.922%
[progress:34.4%]time:8.20s Loss:0.79855 Correct:99488/122880 Acc:80.964%
[progress:37.2%]time:8.18s Loss:0.75843 Correct:107889/133120 Acc:81.046%
[progress:40.1%]time:8.21s Loss:0.74724 Correct:116351/143360 Acc:81.160%
[progress:43.0%]time:8.19s Loss:0.74423 Correct:124833/153600 Acc:81.271%
[progress:45.8%]time:8.18s Loss:0.79055 Correct:133200/163840 Acc:81.299%
[progress:48.7%]time:8.27s Loss:0.74930 Correct:141616/174080 Acc:81.351%
[progress:51.6%]time:8.13s Loss:0.74548 Correct:150040/184320 Acc:81.402%
[progress:54.4%]time:8.18s Loss:0.77764 Correct:158400/194560 Acc:81.414%
[progress:57.3%]time:8.20s Loss:0.72807 Correct:166910/204800 Acc:81.499%
[progress:60.2%]time:8.22s Loss:0.76636 Correct:175369/215040 Acc:81.552%
[progress:63.0%]time:8.17s Loss:0.79920 Correct:183687/225280 Acc:81.537%
[progress:65.9%]time:8.26s Loss:0.77858 Correct:192115/235520 Acc:81.571%
[progress:68.8%]time:8.18s Loss:0.77302 Correct:200551/245760 Acc:81.604%
[progress:71.6%]time:8.13s Loss:0.79203 Correct:208909/256000 Acc:81.605%
[progress:74.5%]time:8.20s Loss:0.82271 Correct:217168/266240 Acc:81.569%
[progress:77.4%]time:8.19s Loss:0.76132 Correct:225627/276480 Acc:81.607%
[progress:80.2%]time:8.19s Loss:0.76919 Correct:234077/286720 Acc:81.640%
