nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625
Loading from checkpoint/ckpt.t7

Epoch : 16
[progress:20.1%]time:10.60s Loss:0.84052 Correct:57631/71680 Acc:80.400%
[progress:21.5%]time:10.30s Loss:0.84272 Correct:61746/76800 Acc:80.398%
[progress:22.9%]time:9.99s Loss:0.80453 Correct:65874/81920 Acc:80.413%
[progress:24.4%]time:10.38s Loss:0.82910 Correct:69973/87040 Acc:80.392%
[progress:25.8%]time:10.29s Loss:0.85438 Correct:74090/92160 Acc:80.393%
[progress:27.2%]time:10.05s Loss:0.79608 Correct:78258/97280 Acc:80.446%
[progress:28.7%]time:9.29s Loss:0.82468 Correct:82372/102400 Acc:80.441%
[progress:30.1%]time:10.54s Loss:0.84885 Correct:86473/107520 Acc:80.425%
[progress:31.5%]time:9.78s Loss:0.83940 Correct:90584/112640 Acc:80.419%
[progress:33.0%]time:10.48s Loss:0.85414 Correct:94647/117760 Acc:80.373%
[progress:34.4%]time:10.11s Loss:0.84076 Correct:98724/122880 Acc:80.342%
[progress:35.8%]time:10.01s Loss:0.84175 Correct:102802/128000 Acc:80.314%
[progress:37.3%]time:10.03s Loss:0.85628 Correct:106924/133120 Acc:80.322%
[progress:38.7%]time:9.74s Loss:0.85178 Correct:111034/138240 Acc:80.320%
[progress:40.1%]time:10.54s Loss:0.87966 Correct:115096/143360 Acc:80.285%
[progress:41.6%]time:10.39s Loss:0.81579 Correct:119190/148480 Acc:80.273%
[progress:43.0%]time:10.05s Loss:0.84945 Correct:123294/153600 Acc:80.270%
[progress:44.4%]time:9.19s Loss:0.80087 Correct:127449/158720 Acc:80.298%
[progress:45.9%]time:10.03s Loss:0.82885 Correct:131568/163840 Acc:80.303%
[progress:47.3%]time:10.16s Loss:0.85781 Correct:135667/168960 Acc:80.295%
[progress:48.7%]time:9.40s Loss:0.80672 Correct:139800/174080 Acc:80.308%
[progress:50.2%]time:8.98s Loss:0.82195 Correct:143964/179200 Acc:80.337%
[progress:51.6%]time:8.95s Loss:0.84903 Correct:148070/184320 Acc:80.333%
[progress:53.0%]time:8.95s Loss:0.90457 Correct:152105/189440 Acc:80.292%
[progress:54.5%]time:9.01s Loss:0.81565 Correct:156234/194560 Acc:80.301%
[progress:55.9%]time:8.97s Loss:0.85012 Correct:160332/199680 Acc:80.294%
[progress:57.3%]time:8.88s Loss:0.82756 Correct:164452/204800 Acc:80.299%
[progress:58.8%]time:8.90s Loss:0.82687 Correct:168558/209920 Acc:80.296%
[progress:60.2%]time:8.87s Loss:0.83424 Correct:172654/215040 Acc:80.289%
[progress:61.6%]time:8.06s Loss:0.79912 Correct:176788/220160 Acc:80.300%
[progress:63.1%]time:10.41s Loss:0.79580 Correct:180937/225280 Acc:80.316%
[progress:64.5%]time:9.73s Loss:0.82436 Correct:185057/230400 Acc:80.320%
[progress:65.9%]time:7.96s Loss:0.85475 Correct:189156/235520 Acc:80.314%
[progress:67.4%]time:8.08s Loss:0.80642 Correct:193313/240640 Acc:80.333%
[progress:68.8%]time:8.10s Loss:0.84637 Correct:197392/245760 Acc:80.319%
[progress:70.3%]time:7.96s Loss:0.85323 Correct:201473/250880 Acc:80.307%
[progress:71.7%]time:7.95s Loss:0.84922 Correct:205566/256000 Acc:80.299%
[progress:73.1%]time:7.99s Loss:0.84825 Correct:209642/261120 Acc:80.286%
[progress:74.6%]time:8.03s Loss:0.85763 Correct:213744/266240 Acc:80.282%
[progress:76.0%]time:7.92s Loss:0.83683 Correct:217839/271360 Acc:80.277%
[progress:77.4%]time:7.97s Loss:0.83026 Correct:221970/276480 Acc:80.284%
[progress:78.9%]time:8.01s Loss:0.80022 Correct:226131/281600 Acc:80.302%
[progress:80.3%]time:8.00s Loss:0.83069 Correct:230256/286720 Acc:80.307%
[progress:81.7%]time:7.98s Loss:0.81522 Correct:234433/291840 Acc:80.329%
[progress:83.2%]time:7.88s Loss:0.81430 Correct:238583/296960 Acc:80.342%
[progress:84.6%]time:8.05s Loss:0.82717 Correct:242713/302080 Acc:80.347%
[progress:86.0%]time:7.95s Loss:0.84338 Correct:246841/307200 Acc:80.352%
[progress:87.5%]time:7.96s Loss:0.82195 Correct:250986/312320 Acc:80.362%
[progress:88.9%]time:7.95s Loss:0.85010 Correct:255099/317440 Acc:80.361%
[progress:90.3%]time:7.94s Loss:0.87687 Correct:259168/322560 Acc:80.347%
[progress:91.8%]time:7.85s Loss:0.85331 Correct:263293/327680 Acc:80.351%
[progress:93.2%]time:7.98s Loss:0.79492 Correct:267443/332800 Acc:80.361%
[progress:94.6%]time:7.95s Loss:0.77683 Correct:271651/337920 Acc:80.389%
[progress:96.1%]time:7.94s Loss:0.84316 Correct:275747/343040 Acc:80.383%
[progress:97.5%]time:8.04s Loss:0.79617 Correct:279937/348160 Acc:80.405%
