nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625

Epoch : 1
[progress:54.4%]time:8.20s Loss:0.85981 Correct:153965/194560 Acc:79.135%
[progress:57.3%]time:8.31s Loss:0.82305 Correct:162218/204800 Acc:79.208%
[progress:60.2%]time:8.27s Loss:0.85265 Correct:170436/215040 Acc:79.258%
[progress:63.0%]time:8.20s Loss:0.83258 Correct:178708/225280 Acc:79.327%
[progress:65.9%]time:8.28s Loss:0.83734 Correct:186935/235520 Acc:79.371%
[progress:68.8%]time:8.29s Loss:0.80312 Correct:195293/245760 Acc:79.465%
[progress:71.6%]time:8.30s Loss:0.81226 Correct:203601/256000 Acc:79.532%
[progress:74.5%]time:8.24s Loss:0.83336 Correct:211839/266240 Acc:79.567%
[progress:77.4%]time:8.30s Loss:0.80497 Correct:220158/276480 Acc:79.629%
[progress:80.2%]time:8.33s Loss:0.83703 Correct:228359/286720 Acc:79.645%
[progress:83.1%]time:8.20s Loss:0.86769 Correct:236508/296960 Acc:79.643%
[progress:86.0%]time:8.26s Loss:0.81281 Correct:244765/307200 Acc:79.676%
[progress:88.8%]time:8.27s Loss:0.84078 Correct:253036/317440 Acc:79.711%
[progress:91.7%]time:8.24s Loss:0.78610 Correct:261418/327680 Acc:79.778%
[progress:94.6%]time:8.25s Loss:0.81847 Correct:269693/337920 Acc:79.810%
[progress:97.4%]time:8.30s Loss:0.83732 Correct:277940/348160 Acc:79.831%
Testing ...
[progress:100.0%]time:45.60s Loss:2.60705 Correct:81861/152974 Acc:53.513%
end

Epoch : 6
[progress:2.9%]time:9.06s Loss:0.95929 Correct:7914/10240 Acc:77.285%
[progress:5.7%]time:8.19s Loss:0.87998 Correct:16049/20480 Acc:78.364%
[progress:8.6%]time:8.25s Loss:0.80316 Correct:24346/30720 Acc:79.251%
[progress:11.5%]time:8.24s Loss:0.84370 Correct:32553/40960 Acc:79.475%
[progress:14.3%]time:8.29s Loss:0.83565 Correct:40840/51200 Acc:79.766%
[progress:17.2%]time:8.25s Loss:0.80403 Correct:49235/61440 Acc:80.135%
[progress:20.1%]time:8.25s Loss:0.81021 Correct:57533/71680 Acc:80.264%
[progress:22.9%]time:8.29s Loss:0.77800 Correct:65920/81920 Acc:80.469%
[progress:25.8%]time:8.27s Loss:0.76364 Correct:74334/92160 Acc:80.658%
[progress:28.7%]time:8.27s Loss:0.77434 Correct:82737/102400 Acc:80.798%
[progress:31.5%]time:8.23s Loss:0.77514 Correct:91132/112640 Acc:80.906%
[progress:34.4%]time:8.26s Loss:0.79573 Correct:99446/122880 Acc:80.929%
[progress:37.2%]time:8.29s Loss:0.79349 Correct:107822/133120 Acc:80.996%
[progress:40.1%]time:8.19s Loss:0.79860 Correct:116159/143360 Acc:81.026%
[progress:43.0%]time:8.17s Loss:0.81047 Correct:124502/153600 Acc:81.056%
[progress:45.8%]time:8.29s Loss:0.77664 Correct:132846/163840 Acc:81.083%
[progress:48.7%]time:8.27s Loss:0.79705 Correct:141135/174080 Acc:81.075%
[progress:51.6%]time:8.30s Loss:0.79113 Correct:149481/184320 Acc:81.099%
[progress:54.4%]time:8.26s Loss:0.79798 Correct:157829/194560 Acc:81.121%
[progress:57.3%]time:8.27s Loss:0.77416 Correct:166262/204800 Acc:81.183%
[progress:60.2%]time:8.19s Loss:0.78107 Correct:174665/215040 Acc:81.224%
[progress:63.0%]time:8.29s Loss:0.74009 Correct:183168/225280 Acc:81.307%
[progress:65.9%]time:8.24s Loss:0.75533 Correct:191590/235520 Acc:81.348%
[progress:68.8%]time:8.25s Loss:0.75031 Correct:200085/245760 Acc:81.415%
[progress:71.6%]time:8.25s Loss:0.79001 Correct:208508/256000 Acc:81.448%
